Tabla,Columna,Tipo de Dato,Atributos
seg_usuario,id,INT(11),NOT NULL AUTO_INCREMENT
seg_usuario,paterno,VARCHAR(255),NOT NULL
seg_usuario,materno,VARCHAR(255),NOT NULL
seg_usuario,nombres,VARCHAR(255),NOT NULL
seg_usuario,nro_documento,VARCHAR(255),NOT NULL
seg_usuario,email,VARCHAR(255),NOT NULL
seg_usuario,sigla,VARCHAR(255),DEFAULT NULL
seg_usuario,p_cargo,INT(11),NOT NULL
seg_usuario,usuario,VARCHAR(255),NOT NULL
seg_usuario,contrasena,VARCHAR(255),NOT NULL
seg_usuario,observaciones,VARCHAR(255),DEFAULT NULL
seg_usuario,fechacreacion,DATE,NOT NULL
seg_usuario,tipousuario,VARCHAR(1),NOT NULL
seg_usuario,fechainiciovigencia,DATE,NOT NULL
seg_usuario,fechafinvigencia,DATE,NOT NULL
seg_usuario,pantallaprincipal,VARCHAR(255),DEFAULT NULL
seg_usuario,conformidad,VARCHAR(1),DEFAULT NULL
seg_usuario,habilitado,VARCHAR(1),NOT NULL
seg_usuario,estado,VARCHAR(3),NOT NULL
seg_usuario,PRIMARY,KEY,(id)
seg_usuario,CHARACTER,SET,latin1
seg_usuario,COLLATE,latin1_swedish_ci,
seg_usuario,nombre,VARCHAR(255),DEFAULT NULL
seg_usuario,descripcion,VARCHAR(255),DEFAULT NULL
seg_usuario,denominativo,VARCHAR(255),DEFAULT NULL
seg_usuario,id_usuario,INT(11),NOT NULL
seg_usuario,impresora,VARCHAR(255),DEFAULT NULL
seg_usuario,usuario_reg,VARCHAR(255),NOT NULL
seg_usuario,fecha_reg,DATE,DEFAULT NULL
seg_usuario,fecha_mod,DATE,DEFAULT NULL
seg_usuario,estado,VARCHAR(3),NOT NULL
seg_usuario,PRIMARY,KEY,(id)
seg_usuario,CHARACTER,SET,latin1
seg_usuario,COLLATE,latin1_swedish_ci,
bar_solicitud_producto,id,INT(11),NOT NULL AUTO_INCREMENT
bar_solicitud_producto,fecha_solicitud,DATE,DEFAULT NULL
bar_solicitud_producto,ind_estado_solicitud,INT(11),NOT NULL COMMENT 'parameter table'
bar_solicitud_producto,descripcion_solicitud,VARCHAR(255),DEFAULT NULL COMMENT 'solo comentarios de alamacenes'
bar_solicitud_producto,id_barra,INT(11),NOT NULL
bar_solicitud_producto,fecha_atencion,DATE,DEFAULT NULL
bar_solicitud_producto,descripcion_atencion,VARCHAR(255),DEFAULT NULL
bar_solicitud_producto,responsable_solicitud,VARCHAR(255),NOT NULL
bar_solicitud_producto,usuario_reg,VARCHAR(255),NOT NULL
bar_solicitud_producto,fecha_reg,DATE,DEFAULT NULL
bar_solicitud_producto,fecha_mod,DATE,DEFAULT NULL
bar_solicitud_producto,estado,VARCHAR(3),NOT NULL
bar_solicitud_producto,PRIMARY,KEY,(id)
bar_solicitud_producto,CHARACTER,SET,latin1
bar_solicitud_producto,COLLATE,latin1_swedish_ci,
bar_ingreso_producto,id,INT(11),NOT NULL AUTO_INCREMENT
bar_ingreso_producto,fecha,DATE,DEFAULT NULL
bar_ingreso_producto,correlativo,INT(11),DEFAULT NULL
bar_ingreso_producto,id_barra,INT(11),NOT NULL
bar_ingreso_producto,id_solicitud_producto,INT(11),NOT NULL
bar_ingreso_producto,usuario_reg,VARCHAR(255),NOT NULL
bar_ingreso_producto,fecha_reg,DATE,DEFAULT NULL
bar_ingreso_producto,fecha_mod,DATE,DEFAULT NULL
bar_ingreso_producto,estado,VARCHAR(3),NOT NULL
bar_ingreso_producto,PRIMARY,KEY,(id)
bar_ingreso_producto,CHARACTER,SET,latin1
bar_ingreso_producto,COLLATE,latin1_swedish_ci,
bar_orden_pedido,id,INT(11),NOT NULL AUTO_INCREMENT
bar_orden_pedido,fecha_solicitud,DATE,NOT NULL
bar_orden_pedido,responsable,VARCHAR(255),DEFAULT NULL
bar_orden_pedido,lugar_entrega,VARCHAR(255),DEFAULT NULL
bar_orden_pedido,fecha_entrega,DATE,DEFAULT NULL
bar_orden_pedido,ind_estado_orden,INT(11),NOT NULL
bar_orden_pedido,observaciones,VARCHAR(255),DEFAULT NULL
bar_orden_pedido,id_barra,INT(11),NOT NULL
bar_orden_pedido,usuario_reg,VARCHAR(255),NOT NULL
bar_orden_pedido,fecha_reg,DATE,DEFAULT NULL
bar_orden_pedido,fecha_mod,DATE,DEFAULT NULL
bar_orden_pedido,estado,VARCHAR(3),NOT NULL
bar_orden_pedido,PRIMARY,KEY,(id)
bar_orden_pedido,CHARACTER,SET,latin1
bar_orden_pedido,COLLATE,latin1_swedish_ci,
bar_orden_pedido,numero,INT(11),DEFAULT NULL
bar_orden_pedido,descripcion,VARCHAR(255),DEFAULT NULL
bar_orden_pedido,ubicacion,VARCHAR(255),DEFAULT NULL
bar_orden_pedido,id_barra,INT(11),NOT NULL
bar_orden_pedido,usuario_reg,VARCHAR(255),NOT NULL
bar_orden_pedido,fecha_reg,DATE,DEFAULT NULL
bar_orden_pedido,fecha_mod,DATE,DEFAULT NULL
bar_orden_pedido,estado,VARCHAR(3),NOT NULL
bar_orden_pedido,PRIMARY,KEY,(id)
bar_orden_pedido,CHARACTER,SET,latin1
bar_orden_pedido,COLLATE,latin1_swedish_ci,
bar_barra_mesera,id,INT(11),NOT NULL AUTO_INCREMENT
bar_barra_mesera,descripcion_asignacion,VARCHAR(255),DEFAULT NULL
bar_barra_mesera,fecha_asignacion,DATE,NOT NULL
bar_barra_mesera,descripcion_desasignacion,VARCHAR(255),DEFAULT NULL
